World-Case,Architecture,Time(seconds),Distance(meters),Speed(m/s)
case01-0,Subsumption,28.400000000,104.096,3.71772
case01-0,Subsumption,28.400000000,104.096,3.7177
case01-0,MotorSchema,27.0,104.887,3.8847
case01-0,MotorSchema,27.0,104.677,3.87693
case01-0,DAMN,30.800000000,107.3,3.57666
case01-0,DAMN,39.100000000,112.711,2.89003
case01-1,Subsumption,29.200000000,110.068,3.79545
case01-1,Subsumption,28.300000000,109.18,3.89928
case01-1,MotorSchema,58.600000000,221.977,3.82719
case01-1,DAMN,33.200000000,117.684,3.5662
case01-1,DAMN,33.800000000,118.528,3.59177
case01-2,MotorSchema,27.900000000,105.035,3.89017
case01-2,MotorSchema,28.100000000,105.624,3.77229
case01-2,DAMN,38.200000000,110.035,2.89567
case01-2,DAMN,39.100000000,110.519,2.83383
case01-3,Subsumption,29.0,107.138,3.6944
case01-3,Subsumption,29.0,107.153,3.69493
case01-3,MotorSchema,26.600000000,105.914,4.07361
case01-3,MotorSchema,26.600000000,105.919,4.0738
case01-3,DAMN,33.500000000,115.788,3.50872
case01-3,DAMN,39.0,115.621,2.96463
